Time (s),High (km),Vertical Speed (m/s)
5.42,0.528,133.922
5.47,0.534,133.079
5.52,0.541,132.241
5.57,0.547,131.406
5.62,0.554,130.577
5.67,0.561,129.752
5.72,0.567,128.932
5.77,0.573,128.117
5.82,0.58,127.305
5.87,0.586,126.499
5.92,0.592,125.696
5.97,0.599,124.898
6.02,0.605,124.105
6.07,0.611,123.316
6.12,0.617,122.531
6.17,0.623,121.75
6.22,0.629,120.973
6.27,0.635,120.201
6.32,0.641,119.432
6.37,0.647,118.667
6.42,0.653,117.905
6.47,0.659,117.147
6.52,0.665,116.392
6.57,0.671,115.641
6.62,0.677,114.893
6.67,0.682,114.149
6.72,0.688,113.409
6.77,0.694,112.672
6.82,0.699,111.938
6.87,0.705,111.208
6.92,0.71,110.482
6.97,0.716,109.759
7.02,0.721,109.039
7.07,0.727,108.323
7.12,0.732,107.61
7.17,0.738,106.9
7.22,0.743,106.194
7.27,0.748,105.49
7.32,0.753,104.79
7.37,0.759,104.092
7.42,0.764,103.397
7.47,0.769,102.705
7.52,0.774,102.016
7.57,0.779,101.329
7.62,0.784,100.645
7.67,0.789,99.964
7.72,0.794,99.286
7.77,0.799,98.61
7.82,0.804,97.937
7.87,0.809,97.267
7.92,0.814,96.599
7.97,0.819,95.934
8.02,0.823,95.272
8.07,0.828,94.613
8.12,0.833,93.956
8.17,0.838,93.301
8.22,0.842,92.649
8.27,0.847,91.999
8.32,0.851,91.352
8.37,0.856,90.706
8.42,0.86,90.063
8.47,0.865,89.422
8.52,0.869,88.784
8.57,0.874,88.147
8.62,0.878,87.513
8.67,0.883,86.881
8.72,0.887,86.251
8.77,0.891,85.623
8.82,0.896,84.998
8.87,0.9,84.374
8.92,0.904,83.753
8.97,0.908,83.134
9.02,0.912,82.516
9.07,0.916,81.901
9.12,0.92,81.288
9.17,0.924,80.676
9.22,0.929,80.066
9.27,0.933,79.459
9.32,0.936,78.853
9.37,0.94,78.249
9.42,0.944,77.646
