Time,Average Thrust
0.608,0.649
0.609,0.628
0.61,0.507
0.611,0.569
0.612,0.540
0.613,0.515
0.614,0.597
0.615,0.559
0.616,0.529
0.617,0.556
0.618,0.471
0.619,0.567
0.62,0.630
0.621,0.595
0.622,0.542
0.623,0.668
0.624,0.624
0.625,0.618
0.626,0.557
0.627,0.563
0.628,0.590
0.629,0.597
0.63,0.581
0.631,0.583
0.632,0.481
0.633,0.548
0.634,0.585
0.635,0.606
0.636,0.556
0.637,0.592
0.638,0.693
0.639,0.673
0.64,0.585
0.641,0.601
0.642,0.636
0.643,0.621
0.644,0.698
0.645,0.641
0.646,0.576
0.647,0.541
0.648,0.636
0.649,0.524
0.65,0.638
0.651,0.652
0.652,0.618
0.653,0.674
0.654,0.659
0.655,0.702
0.656,0.755
0.657,0.645
0.658,0.616
0.659,0.677
0.66,0.727
0.661,0.671
0.662,0.678
0.663,0.586
0.664,0.621
0.665,0.741
0.666,0.657
0.667,0.683
0.668,0.743
0.669,0.724
0.67,0.770
0.671,0.785
0.672,0.679
0.673,0.725
0.674,0.736
0.675,0.753
0.676,0.781
0.677,0.772
0.678,0.734
0.679,0.718
0.68,0.749
0.681,0.758
0.682,0.694
0.683,0.695
0.684,0.758
0.685,0.717
0.686,0.766
0.687,0.806
0.688,0.754
0.689,0.860
0.69,0.864
0.691,0.780
0.692,0.832
0.693,0.860
0.694,0.783
0.695,0.865
0.696,0.857
0.697,0.733
0.698,0.753
0.699,0.777
0.7,0.871
0.701,0.847
0.702,0.934
0.703,0.922
0.704,0.876
0.705,0.917
0.706,0.994
0.707,0.894
0.708,0.879
0.709,0.962
0.71,0.908
0.711,0.905
0.712,0.858
0.713,0.892
0.714,0.953
0.715,0.975
0.716,0.895
0.717,0.960
0.718,0.979
0.719,1.032
0.72,1.069
0.721,0.973
0.722,0.964
0.723,1.013
0.724,1.017
0.725,1.074
0.726,1.064
0.727,1.036
0.728,1.112
0.729,1.062
0.73,1.073
0.731,1.062
0.732,1.038
0.733,1.104
0.734,1.063
0.735,1.199
0.736,1.196
0.737,1.202
0.738,1.209
0.739,1.241
0.74,1.293
0.741,1.210
0.742,1.271
0.743,1.271
0.744,1.280
0.745,1.295
0.746,1.228
0.747,1.225
0.748,1.177
0.749,1.319
0.75,1.285
0.751,1.287
0.752,1.360
0.753,1.373
0.754,1.405
0.755,1.481
0.756,1.373
0.757,1.409
0.758,1.460
0.759,1.410
0.76,1.463
0.761,1.413
0.762,1.376
0.763,1.453
0.764,1.408
0.765,1.412
0.766,1.475
0.767,1.445
0.768,1.509
0.769,1.610
0.77,1.503
0.771,1.488
0.772,1.577
0.773,1.569
0.774,1.545
0.775,1.675
0.776,1.672
0.777,1.637
0.778,1.611
0.779,1.725
0.78,1.660
0.781,1.672
0.782,1.706
0.783,1.630
0.784,1.733
0.785,1.738
0.786,1.722
0.787,1.783
0.788,1.790
0.789,1.765
0.79,1.784
0.791,1.828
0.792,1.859
0.793,1.896
0.794,1.858
0.795,1.810
0.796,1.844
0.797,1.871
0.798,1.798
0.799,1.901
0.8,1.842
0.801,1.900
0.802,2.031
0.803,2.026
0.804,1.993
0.805,2.015
0.806,2.024
0.807,1.990
0.808,2.008
0.809,1.947
0.81,1.932
0.811,2.053
0.812,1.945
0.813,1.955
0.814,2.051
0.815,1.991
0.816,1.994
0.817,2.144
0.818,2.183
0.819,2.150
0.82,2.240
0.821,2.173
0.822,2.189
0.823,2.263
0.824,2.311
0.825,2.323
0.826,2.379
0.827,2.347
0.828,2.429
0.829,2.528
0.83,2.576
0.831,2.601
0.832,2.639
0.833,2.770
0.834,2.778
0.835,2.906
0.836,2.917
0.837,2.950
0.838,3.002
0.839,3.072
0.84,3.026
0.841,3.038
0.842,3.141
0.843,3.233
0.844,3.198
0.845,3.213
0.846,3.312
0.847,3.371
0.848,3.418
0.849,3.515
0.85,3.431
0.851,3.510
0.852,3.637
0.853,3.627
0.854,3.688
0.855,3.826
0.856,3.738
0.857,3.759
0.858,3.801
0.859,3.831
0.86,3.954
0.861,3.928
0.862,3.953
0.863,3.993
0.864,4.081
0.865,4.166
0.866,4.197
0.867,4.201
0.868,4.278
0.869,4.400
0.87,4.414
0.871,4.453
0.872,4.463
0.873,4.486
0.874,4.508
0.875,4.572
0.876,4.530
0.877,4.618
0.878,4.606
0.879,4.759
0.88,4.721
0.881,4.701
0.882,4.812
0.883,4.828
0.884,4.928
0.885,4.993
0.886,4.950
0.887,4.963
0.888,5.116
0.889,5.076
0.89,5.038
0.891,5.048
0.892,5.108
0.893,5.256
0.894,5.253
0.895,5.288
0.896,5.333
0.897,5.428
0.898,5.388
0.899,5.389
0.9,5.525
0.901,5.610
0.902,5.621
0.903,5.708
0.904,5.726
0.905,5.741
0.906,5.813
0.907,5.847
0.908,5.822
0.909,5.822
0.91,5.914
0.911,5.961
0.912,6.040
0.913,6.014
0.914,6.091
0.915,6.188
0.916,6.235
0.917,6.266
0.918,6.384
0.919,6.527
0.92,6.565
0.921,6.647
0.922,6.708
0.923,6.665
0.924,6.803
0.925,6.892
0.926,6.866
0.927,7.000
0.928,7.057
0.929,7.150
0.93,7.291
0.931,7.250
0.932,7.319
0.933,7.578
0.934,7.568
0.935,7.664
0.936,7.869
0.937,7.941
0.938,7.966
0.939,8.026
0.94,8.232
0.941,8.213
0.942,8.320
0.943,8.435
0.944,8.472
0.945,8.624
0.946,8.752
0.947,8.754
0.948,8.910
0.949,9.104
0.95,9.143
0.951,9.307
0.952,9.431
