时间 (s),高度 (m),垂直速度 (m/s),垂直加速度 (m/s²),总速度 (m/s),总加速度 (m/s²),平行风位置 (m),迎风位置 (m),横向跨距 (m),水平方向 (°),横向速度 (m/s),横向加速度 (m/s²),纬度 (°),经度 (°),重力加速度 (m/s²),攻角 (°),滚转角速度 (°/s),俯仰角速度 (°/s),偏航角速度 (°/s),质量 (g),推进剂质量 (g),纵向转动惯量 (kg·m²),横向转动惯量 (kg·m²),CP 压心位置 (cm),CG 重心位置 (cm),稳定裕量 (​),马赫数 (​),雷诺数 (​),推力 (N),阻力 (N),阻力系数 (​),轴向阻力系数 (​),摩擦阻力系数 (​),压差阻力系数 (​),基准阻力系数 (​),法向力系数 (​),俯仰力矩系数 (​),偏航力矩系数 (​),侧向力系数 (​),滚转力矩系数 (​),滚转力系数 (​),滚转阻尼系数 (​),俯仰阻尼系数 (​),科里奥利加速度 (m/s²),参考长度 (cm),参考面积 (cm²),垂直方向 (天顶角) (°),水平方向 (方位角) (°),风速 (m/s),空气温度 (°C),空气压力 (mbar),音速 (m/s),模拟时间步 (s),计算时间 (s)
10.82,1051.638,60.177,-11.311,62.338,11.32,169.709,0.049,169.709,0.017,16.269,0.444,22,120.002,9.784,0.051,3.804e-7,2.273,-0.003,1.81e4,4500,15.299,0.086,208.713,156.282,3.158,0.185,1.041e7,0,28.693,0.617,0.617,0.277,0.216,0.124,0.009,0.028,4.007e-4,0,0,0,0,0.001,0.008,16.6,216.424,74.923,0.032,0,8.164,893.253,336.246,0.05,0.083
10.87,1054.633,59.613,-11.282,61.787,11.291,170.522,0.049,170.522,0.017,16.247,0.44,22,120.002,9.784,0.053,-3.852e-7,2.315,8.369e-4,1.81e4,4500,15.299,0.086,208.704,156.282,3.158,0.184,1.031e7,0,28.175,0.617,0.617,0.277,0.216,0.124,0.01,0.029,-2.995e-4,0,0,0,0,0.001,0.008,16.6,216.424,74.808,0.032,0,8.145,892.934,336.235,0.05,0.084
10.92,1057.599,59.049,-11.254,61.238,11.263,171.333,0.05,171.333,0.017,16.225,0.436,22,120.002,9.784,0.055,4.389e-7,2.357,0.005,1.81e4,4500,15.299,0.086,208.696,156.282,3.158,0.182,1.022e7,0,27.664,0.617,0.617,0.277,0.216,0.124,0.01,0.031,2.521e-4,0,0,0,0,0.001,0.008,16.6,216.424,74.691,0.031,0,8.126,892.619,336.223,0.05,0.084
10.97,1060.538,58.487,-11.226,60.69,11.235,172.144,0.05,172.144,0.017,16.203,0.432,22,120.002,9.784,0.057,7.404e-7,2.401,0.009,1.81e4,4500,15.299,0.086,208.689,156.282,3.157,0.181,1.012e7,0,27.159,0.617,0.617,0.277,0.216,0.124,0.01,0.032,1.394e-5,0,0,0,0,0.001,0.008,16.6,216.424,74.572,0.031,0,8.107,892.306,336.211,0.05,0.084
11.02,1063.448,57.926,-11.199,60.144,11.207,172.954,0.051,172.954,0.017,16.182,0.428,22,120.002,9.784,0.059,0,2.444,0.013,1.81e4,4500,15.299,0.086,208.681,156.282,3.157,0.179,1.003e7,0,26.661,0.616,0.616,0.277,0.216,0.124,0.011,0.033,4.546e-4,0,0,0,0,0.001,0.008,16.6,216.424,74.451,0.031,0,8.088,891.997,336.2,0.05,0.084
11.07,1066.33,57.367,-11.172,59.6,11.18,173.762,0.051,173.762,0.017,16.161,0.423,22,120.002,9.784,0.061,-8.724e-7,2.489,0.016,1.81e4,4500,15.299,0.086,208.674,156.282,3.156,0.177,9.938e6,0,26.169,0.616,0.616,0.277,0.216,0.124,0.011,0.033,-3.342e-4,0,0,0,0,0.002,0.008,16.6,216.424,74.328,0.031,0,8.069,891.69,336.189,0.05,0.084
11.12,1069.185,56.809,-11.145,59.057,11.153,174.57,0.052,174.57,0.017,16.14,0.419,22,120.002,9.784,0.062,-4.77e-7,2.532,0.019,1.81e4,4500,15.299,0.086,208.668,156.282,3.156,0.176,9.845e6,0,25.683,0.616,0.616,0.277,0.216,0.124,0.011,0.035,-2.903e-4,0,0,0,0,0.002,0.008,16.6,216.424,74.202,0.031,0,8.05,891.386,336.177,0.05,0.085
11.17,1072.011,56.253,-11.118,58.517,11.126,175.376,0.052,175.376,0.017,16.119,0.415,22,120.002,9.784,0.064,-1.018e-6,2.577,0.02,1.81e4,4500,15.299,0.086,208.661,156.282,3.155,0.174,9.753e6,0,25.204,0.616,0.616,0.277,0.216,0.124,0.012,0.035,3.768e-4,0,0,0,0,0.002,0.008,16.6,216.424,74.074,0.031,0,8.032,891.086,336.166,0.05,0.085
11.22,1074.81,55.697,-11.092,57.977,11.1,176.182,0.053,176.182,0.017,16.098,0.411,22,120.002,9.784,0.065,0,2.621,0.02,1.81e4,4500,15.299,0.086,208.655,156.282,3.155,0.172,9.661e6,0,24.731,0.616,0.616,0.277,0.215,0.124,0.012,0.036,-2.197e-4,0,0,0,0,0.002,0.008,16.6,216.424,73.944,0.031,0,8.014,890.788,336.155,0.05,0.085
11.27,1077.581,55.144,-11.067,57.44,11.074,176.986,0.053,176.986,0.017,16.078,0.407,22,120.002,9.784,0.067,0,2.666,0.02,1.81e4,4500,15.299,0.086,208.648,156.282,3.155,0.171,9.569e6,0,24.264,0.616,0.616,0.277,0.215,0.124,0.012,0.037,4.625e-4,0,0,0,0,0.002,0.008,16.6,216.424,73.812,0.031,0,7.996,890.493,336.144,0.05,0.085
11.32,1080.324,54.591,-11.041,56.903,11.048,177.789,0.054,177.789,0.017,16.057,0.403,22,120.002,9.784,0.069,3.46e-7,2.712,0.019,1.81e4,4500,15.299,0.086,208.641,156.282,3.154,0.169,9.478e6,0,23.803,0.616,0.616,0.277,0.215,0.124,0.013,0.038,-6.171e-5,0,0,0,0,0.002,0.008,16.6,216.424,73.678,0.031,0,7.978,890.201,336.134,0.05,0.085
11.37,1083.04,54.039,-11.016,56.369,11.023,178.592,0.054,178.592,0.017,16.037,0.399,22,120.002,9.784,0.07,-9.671e-7,2.757,0.018,1.81e4,4500,15.299,0.086,208.634,156.282,3.154,0.168,9.387e6,0,23.348,0.616,0.616,0.277,0.215,0.124,0.013,0.038,-1.466e-4,0,0,0,0,0.002,0.008,16.6,216.424,73.541,0.031,0,7.96,889.913,336.123,0.05,0.085
11.42,1085.728,53.489,-10.991,55.836,10.998,179.393,0.054,179.393,0.017,16.018,0.395,22,120.002,9.784,0.073,-3.344e-7,2.803,0.016,1.81e4,4500,15.299,0.086,208.626,156.282,3.153,0.166,9.296e6,0,22.899,0.616,0.616,0.277,0.215,0.124,0.013,0.04,1.809e-4,0,0,0,0,0.002,0.008,16.6,216.424,73.402,0.032,0,7.943,889.627,336.112,0.05,0.086
11.47,1088.389,52.94,-10.967,55.305,10.974,180.194,0.055,180.194,0.017,15.998,0.391,22,120.002,9.784,0.075,0,2.849,0.015,1.81e4,4500,15.299,0.086,208.618,156.282,3.153,0.165,9.206e6,0,22.457,0.616,0.616,0.277,0.215,0.124,0.014,0.041,1.336e-4,0,0,0,0,0.002,0.008,16.6,216.424,73.261,0.032,0,7.925,889.344,336.102,0.05,0.086
11.52,1091.022,52.393,-10.942,54.775,10.949,180.993,0.055,180.993,0.018,15.978,0.387,22,120.002,9.784,0.077,0,2.897,0.013,1.81e4,4500,15.299,0.086,208.609,156.282,3.152,0.163,9.115e6,0,22.02,0.615,0.615,0.277,0.215,0.123,0.014,0.043,-2.829e-4,0,0,0,0,0.002,0.007,16.6,216.424,73.117,0.032,0,7.908,889.064,336.091,0.05,0.086
11.57,1093.628,51.846,-10.919,54.247,10.925,181.791,0.056,181.791,0.018,15.959,0.384,22,120.002,9.784,0.08,-4.889e-7,2.944,0.012,1.81e4,4500,15.299,0.086,208.599,156.282,3.152,0.161,9.026e6,0,21.588,0.615,0.615,0.277,0.215,0.123,0.015,0.043,9.934e-5,0,0,0,0,0.003,0.007,16.6,216.424,72.971,0.032,0,7.891,888.786,336.081,0.05,0.086
11.62,1096.207,51.301,-10.895,53.72,10.902,182.589,0.056,182.589,0.018,15.94,0.38,22,120.002,9.784,0.084,-4.147e-7,2.991,0.01,1.81e4,4500,15.299,0.086,208.589,156.282,3.151,0.16,8.936e6,0,21.163,0.615,0.615,0.277,0.215,0.123,0.015,0.045,2.232e-4,0,0,0,0,0.003,0.007,16.6,216.424,72.823,0.033,0,7.875,888.512,336.071,0.05,0.086
11.67,1098.758,50.757,-10.872,53.195,10.878,183.385,0.057,183.385,0.018,15.921,0.377,22,120.002,9.784,0.087,0,3.042,0.008,1.81e4,4500,15.299,0.086,208.577,156.282,3.15,0.158,8.847e6,0,20.743,0.615,0.615,0.277,0.215,0.123,0.016,0.048,3.37e-4,0,0,0,0,0.003,0.007,16.6,216.424,72.672,0.033,0,7.858,888.241,336.061,0.05,0.086
11.72,1101.283,50.214,-10.849,52.671,10.855,184.181,0.057,184.181,0.018,15.902,0.373,22,120.002,9.784,0.091,3.528e-7,3.091,0.005,1.81e4,4500,15.299,0.086,208.565,156.282,3.15,0.157,8.758e6,0,20.329,0.615,0.615,0.277,0.215,0.123,0.017,0.05,3.686e-4,0,0,0,0,0.003,0.007,16.6,216.424,72.518,0.033,0,7.842,887.972,336.051,0.05,0.086
11.77,1103.78,49.672,-10.826,52.15,10.832,184.976,0.058,184.976,0.018,15.884,0.37,22,120.002,9.784,0.096,-9.812e-7,3.143,0.003,1.81e4,4500,15.299,0.086,208.552,156.282,3.149,0.155,8.67e6,0,19.921,0.615,0.615,0.277,0.215,0.123,0.018,0.052,3.206e-4,0,0,0,0,0.003,0.007,16.6,216.424,72.363,0.034,0,7.825,887.706,336.041,0.05,0.087
11.82,1106.25,49.131,-10.803,51.629,10.81,185.769,0.058,185.769,0.018,15.865,0.367,22,120.002,9.784,0.1,-1.377e-6,3.197,0.001,1.81e4,4500,15.299,0.086,208.538,156.282,3.148,0.154,8.582e6,0,19.518,0.615,0.615,0.277,0.215,0.123,0.018,0.055,1.099e-4,0,0,0,0,0.003,0.007,16.6,216.424,72.204,0.034,0,7.809,887.444,336.031,0.05,0.087
11.87,1108.693,48.591,-10.781,51.11,10.787,186.562,0.059,186.562,0.018,15.847,0.364,22,120.002,9.784,0.106,0,3.251,-0.001,1.81e4,4500,15.299,0.086,208.523,156.282,3.147,0.152,8.494e6,0,19.12,0.615,0.615,0.277,0.215,0.123,0.019,0.057,-4.708e-4,0,0,0,0,0.003,0.007,16.6,216.424,72.043,0.034,0,7.793,887.184,336.022,0.05,0.087
11.92,1111.109,48.053,-10.759,50.593,10.765,187.354,0.059,187.354,0.018,15.829,0.361,22,120.002,9.784,0.111,-4.248e-7,3.307,-0.003,1.81e4,4500,15.299,0.086,208.507,156.282,3.146,0.151,8.406e6,0,18.728,0.615,0.615,0.277,0.215,0.123,0.02,0.061,2.559e-4,0,0,0,0,0.004,0.007,16.6,216.424,71.879,0.035,0,7.778,886.927,336.012,0.05,0.087
11.97,1113.498,47.515,-10.737,50.077,10.743,188.145,0.06,188.145,0.018,15.811,0.358,22,120.002,9.784,0.117,0,3.365,-0.005,1.81e4,4500,15.299,0.086,208.49,156.282,3.145,0.149,8.319e6,0,18.342,0.615,0.615,0.277,0.215,0.123,0.021,0.064,8.323e-5,0,0,0,0,0.004,0.007,16.6,216.424,71.712,0.035,0,7.762,886.673,336.003,0.05,0.087
12.02,1115.86,46.979,-10.716,49.563,10.722,188.935,0.06,188.935,0.018,15.793,0.355,22,120.002,9.784,0.124,-6.455e-7,3.426,-0.007,1.81e4,4500,15.299,0.086,208.472,156.282,3.144,0.148,8.232e6,0,17.96,0.615,0.615,0.277,0.215,0.123,0.023,0.067,-1.989e-4,0,0,0,0,0.004,0.007,16.6,216.424,71.542,0.035,0,7.747,886.421,335.994,0.05,0.087
12.07,1118.196,46.444,-10.695,49.05,10.701,189.724,0.061,189.724,0.018,15.776,0.353,22,120.002,9.784,0.131,0,3.488,-0.007,1.81e4,4500,15.299,0.086,208.453,156.282,3.143,0.146,8.145e6,0,17.585,0.615,0.615,0.277,0.215,0.123,0.024,0.071,4.007e-4,0,0,0,0,0.004,0.007,16.6,216.424,71.369,0.036,0,7.732,886.173,335.984,0.05,0.087
12.12,1120.505,45.91,-10.674,48.539,10.68,190.513,0.061,190.513,0.018,15.758,0.35,22,120.002,9.784,0.138,0,3.551,-0.008,1.81e4,4500,15.299,0.086,208.433,156.282,3.142,0.144,8.059e6,0,17.214,0.614,0.614,0.277,0.215,0.123,0.025,0.074,-4.705e-4,0,0,0,0,0.005,0.007,16.6,216.424,71.193,0.036,0,7.717,885.927,335.975,0.05,0.088
12.17,1122.787,45.376,-10.653,48.029,10.659,191.3,0.062,191.3,0.018,15.741,0.347,22,120.002,9.784,0.145,0,3.618,-0.008,1.81e4,4500,15.299,0.086,208.412,156.282,3.14,0.143,7.973e6,0,16.849,0.614,0.614,0.277,0.215,0.123,0.027,0.079,3.729e-4,0,0,0,0,0.005,0.007,16.6,216.424,71.014,0.036,0,7.702,885.685,335.966,0.05,0.088
12.22,1125.043,44.844,-10.633,47.521,10.639,192.087,0.062,192.087,0.019,15.723,0.345,22,120.002,9.784,0.153,9.976e-7,3.686,-0.008,1.81e4,4500,15.299,0.086,208.39,156.282,3.139,0.141,7.887e6,0,16.488,0.614,0.614,0.277,0.215,0.123,0.028,0.083,3.871e-4,0,0,0,0,0.005,0.006,16.6,216.424,70.832,0.036,0,7.687,885.445,335.957,0.05,0.088
12.27,1127.271,44.313,-10.613,47.014,10.619,192.873,0.063,192.873,0.019,15.706,0.342,22,120.002,9.784,0.162,0,3.756,-0.008,1.81e4,4500,15.299,0.086,208.368,156.282,3.138,0.14,7.802e6,0,16.133,0.614,0.614,0.277,0.215,0.123,0.03,0.088,-4.402e-4,0,0,0,0,0.006,0.006,16.6,216.424,70.646,0.037,0,7.673,885.208,335.949,0.05,0.088
12.32,1129.474,43.783,-10.593,46.509,10.599,193.657,0.063,193.658,0.019,15.689,0.34,22,120.002,9.784,0.17,5.333e-7,3.829,-0.008,1.81e4,4500,15.299,0.086,208.344,156.282,3.136,0.138,7.717e6,0,15.783,0.614,0.614,0.277,0.215,0.122,0.031,0.092,1.247e-4,0,0,0,0,0.006,0.006,16.6,216.424,70.456,0.037,0,7.658,884.973,335.94,0.05,0.088
12.37,1131.65,43.254,-10.574,46.005,10.579,194.442,0.064,194.442,0.019,15.672,0.337,22,120.002,9.784,0.18,0,3.904,-0.008,1.81e4,4500,15.299,0.086,208.32,156.282,3.135,0.137,7.632e6,0,15.438,0.614,0.614,0.277,0.215,0.122,0.033,0.097,-9.547e-5,0,0,0,0,0.006,0.006,16.6,216.424,70.263,0.037,0,7.644,884.742,335.931,0.05,0.088
12.42,1133.799,42.726,-10.554,45.503,10.56,195.225,0.064,195.225,0.019,15.655,0.335,22,120.002,9.784,0.189,-6.22e-7,3.981,-0.007,1.81e4,4500,15.299,0.086,208.295,156.282,3.133,0.135,7.547e6,0,15.099,0.614,0.614,0.277,0.215,0.122,0.035,0.102,-2.902e-4,0,0,0,0,0.007,0.006,16.6,216.424,70.066,0.037,0,7.63,884.513,335.923,0.05,0.089
12.47,1135.922,42.198,-10.535,45.003,10.541,196.007,0.065,196.007,0.019,15.639,0.332,22,120.002,9.784,0.199,-3.282e-7,4.06,-0.006,1.81e4,4500,15.299,0.086,208.268,156.282,3.132,0.134,7.463e6,0,14.764,0.614,0.614,0.277,0.215,0.122,0.037,0.107,4.678e-4,0,0,0,0,0.007,0.006,16.6,216.424,69.865,0.037,0,7.617,884.287,335.915,0.05,0.089
12.52,1138.019,41.672,-10.517,44.504,10.522,196.789,0.065,196.789,0.019,15.622,0.33,22,120.002,9.784,0.21,5.563e-7,4.141,-0.005,1.81e4,4500,15.299,0.086,208.241,156.282,3.13,0.132,7.379e6,0,14.434,0.614,0.614,0.277,0.215,0.122,0.039,0.113,8.317e-6,0,0,0,0,0.007,0.006,16.6,216.424,69.66,0.037,0,7.603,884.064,335.906,0.05,0.089
12.57,1140.09,41.147,-10.498,44.007,10.503,197.569,0.066,197.569,0.019,15.606,0.327,22,120.002,9.784,0.221,0,4.225,-0.005,1.81e4,4500,15.299,0.086,208.212,156.282,3.128,0.131,7.295e6,0,14.109,0.614,0.614,0.277,0.215,0.122,0.041,0.119,-3.182e-4,0,0,0,0,0.008,0.006,16.6,216.424,69.45,0.037,0,7.589,883.844,335.898,0.05,0.089
12.62,1142.134,40.622,-10.48,43.511,10.485,198.349,0.066,198.349,0.019,15.589,0.325,22,120.002,9.784,0.232,0,4.311,-0.004,1.81e4,4500,15.299,0.086,208.183,156.282,3.127,0.13,7.212e6,0,13.788,0.614,0.614,0.277,0.214,0.122,0.043,0.125,2.354e-4,0,0,0,0,0.008,0.006,16.6,216.424,69.237,0.037,0,7.576,883.627,335.89,0.05,0.089
12.67,1144.152,40.099,-10.462,43.017,10.467,199.128,0.067,199.128,0.019,15.573,0.323,22,120.002,9.784,0.244,-3.549e-7,4.399,-0.004,1.81e4,4500,15.299,0.086,208.152,156.282,3.125,0.128,7.129e6,0,13.473,0.614,0.614,0.277,0.214,0.122,0.045,0.131,-3.768e-4,0,0,0,0,0.009,0.006,16.6,216.424,69.019,0.038,0,7.563,883.412,335.882,0.05,0.089
12.72,1146.144,39.576,-10.444,42.524,10.449,199.906,0.067,199.906,0.019,15.557,0.321,22,120.002,9.784,0.256,0,4.49,-0.003,1.81e4,4500,15.299,0.086,208.12,156.282,3.123,0.127,7.046e6,0,13.163,0.614,0.614,0.277,0.214,0.122,0.047,0.137,-3.239e-4,0,0,0,0,0.01,0.006,16.6,216.424,68.797,0.038,0,7.55,883.2,335.874,0.05,0.09
12.77,1148.109,39.054,-10.426,42.033,10.431,200.684,0.068,200.684,0.019,15.541,0.318,22,120.002,9.784,0.27,-5.494e-7,4.583,-0.002,1.81e4,4500,15.299,0.086,208.086,156.282,3.121,0.125,6.964e6,0,12.857,0.613,0.614,0.277,0.214,0.122,0.05,0.145,-1.934e-4,0,0,0,0,0.01,0.006,16.6,216.424,68.57,0.038,0,7.537,882.991,335.866,0.05,0.09
12.82,1150.049,38.533,-10.409,41.543,10.414,201.461,0.068,201.461,0.019,15.525,0.316,22,120.002,9.784,0.283,-8.268e-7,4.678,-0.001,1.81e4,4500,15.299,0.086,208.051,156.282,3.119,0.124,6.882e6,0,12.556,0.613,0.614,0.277,0.214,0.122,0.052,0.152,1.758e-4,0,0,0,0,0.011,0.006,16.6,216.424,68.339,0.038,0,7.525,882.785,335.859,0.05,0.09
12.87,1151.963,38.013,-10.392,41.056,10.397,202.236,0.069,202.236,0.019,15.51,0.314,22,120.002,9.784,0.298,-2.933e-7,4.776,-6.062e-4,1.81e4,4500,15.299,0.086,208.014,156.282,3.116,0.122,6.8e6,0,12.259,0.613,0.614,0.277,0.214,0.122,0.055,0.159,-3.554e-6,0,0,0,0,0.012,0.006,16.6,216.424,68.102,0.038,0,7.512,882.581,335.851,0.05,0.09
12.92,1153.85,37.494,-10.375,40.569,10.38,203.012,0.069,203.012,0.019,15.494,0.312,22,120.002,9.784,0.313,0,4.876,-9.975e-6,1.81e4,4500,15.299,0.086,207.976,156.282,3.114,0.121,6.718e6,0,11.968,0.613,0.613,0.277,0.214,0.122,0.058,0.167,-1.005e-4,0,0,0,0,0.012,0.006,16.6,216.424,67.861,0.038,0,7.5,882.38,335.844,0.05,0.09
12.97,1155.712,36.976,-10.359,40.085,10.363,203.786,0.07,203.786,0.02,15.478,0.31,22,120.002,9.784,0.329,0,4.979,5.708e-4,1.81e4,4500,15.299,0.086,207.935,156.282,3.112,0.119,6.637e6,0,11.68,0.613,0.613,0.277,0.214,0.122,0.061,0.175,-4.609e-4,0,0,0,0,0.013,0.005,16.6,216.424,67.614,0.038,0,7.488,882.182,335.837,0.05,0.09
13.02,1157.548,36.458,-10.342,39.602,10.347,204.559,0.07,204.559,0.02,15.463,0.308,22,120.002,9.784,0.346,6.223e-7,5.084,0.001,1.81e4,4500,15.299,0.086,207.893,156.282,3.109,0.118,6.556e6,0,11.398,0.613,0.613,0.277,0.214,0.122,0.064,0.185,-1.387e-4,0,0,0,0,0.014,0.005,16.6,216.424,67.363,0.038,0,7.476,881.987,335.829,0.05,0.09
13.07,1159.358,35.942,-10.326,39.121,10.33,205.332,0.071,205.332,0.02,15.448,0.306,22,120.002,9.784,0.364,3.516e-7,5.192,0.002,1.81e4,4500,15.299,0.086,207.848,156.282,3.106,0.116,6.475e6,0,11.12,0.613,0.613,0.277,0.214,0.122,0.067,0.193,-2.857e-4,0,0,0,0,0.015,0.005,16.6,216.424,67.106,0.038,0,7.464,881.795,335.822,0.05,0.09
13.12,1161.142,35.426,-10.31,38.641,10.314,206.104,0.071,206.104,0.02,15.432,0.304,22,120.002,9.784,0.383,-5.805e-7,5.302,0.002,1.81e4,4500,15.299,0.086,207.801,156.282,3.104,0.115,6.395e6,0,10.847,0.613,0.613,0.277,0.214,0.122,0.071,0.203,-2.77e-4,0,0,0,0,0.016,0.005,16.6,216.424,66.844,0.038,0,7.453,881.605,335.815,0.05,0.091
13.17,1162.901,34.911,-10.294,38.163,10.299,206.875,0.072,206.875,0.02,15.417,0.302,22,120.002,9.784,0.403,-3.938e-7,5.416,0.002,1.81e4,4500,15.299,0.086,207.751,156.282,3.101,0.114,6.315e6,0,10.578,0.613,0.613,0.277,0.214,0.122,0.074,0.214,-3.935e-4,0,0,0,0,0.017,0.005,16.6,216.424,66.576,0.038,0,7.441,881.418,335.808,0.05,0.091
13.22,1164.633,34.396,-10.279,37.687,10.283,207.646,0.072,207.646,0.02,15.402,0.3,22,120.002,9.784,0.424,0,5.531,0.003,1.81e4,4500,15.299,0.086,207.699,156.282,3.097,0.112,6.236e6,0,10.313,0.613,0.613,0.277,0.214,0.122,0.078,0.224,3.624e-4,0,0,0,0,0.019,0.005,16.6,216.424,66.302,0.038,0,7.43,881.233,335.801,0.05,0.091
13.27,1166.34,33.883,-10.263,37.213,10.268,208.416,0.073,208.416,0.02,15.387,0.299,22,120.002,9.784,0.447,0,5.65,0.003,1.81e4,4500,15.299,0.086,207.643,156.282,3.094,0.111,6.156e6,0,10.053,0.613,0.613,0.277,0.214,0.122,0.083,0.236,-5.22e-6,0,0,0,0,0.02,0.005,16.6,216.424,66.023,0.038,0,7.419,881.052,335.795,0.05,0.091
13.32,1168.022,33.37,-10.248,36.74,10.252,209.185,0.073,209.185,0.02,15.372,0.297,22,120.002,9.784,0.471,0,5.772,0.003,1.81e4,4500,15.299,0.086,207.584,156.282,3.091,0.109,6.077e6,0,9.798,0.613,0.613,0.277,0.214,0.122,0.087,0.248,-2.89e-4,0,0,0,0,0.021,0.005,16.6,216.424,65.737,0.038,0,7.408,880.873,335.788,0.05,0.091
13.37,1169.677,32.858,-10.233,36.27,10.237,209.953,0.074,209.953,0.02,15.357,0.296,22,120.002,9.784,0.496,-4.292e-7,5.897,0.003,1.81e4,4500,15.299,0.086,207.522,156.282,3.087,0.108,5.999e6,0,9.547,0.613,0.613,0.277,0.214,0.122,0.092,0.261,-2.366e-4,0,0,0,0,0.023,0.005,16.6,216.424,65.445,0.038,0,7.397,880.697,335.782,0.05,0.091
13.42,1171.307,32.347,-10.218,35.801,10.222,210.72,0.074,210.72,0.02,15.343,0.294,22,120.002,9.784,0.523,-4.505e-7,6.025,0.004,1.81e4,4500,15.299,0.086,207.456,156.282,3.083,0.107,5.92e6,0,9.3,0.613,0.613,0.277,0.214,0.121,0.097,0.275,3.616e-4,0,0,0,0,0.024,0.005,16.6,216.424,65.147,0.039,0,7.387,880.523,335.775,0.05,0.091
13.47,1172.912,31.836,-10.203,35.334,10.208,211.487,0.075,211.487,0.02,15.328,0.293,22,120.002,9.784,0.552,-9.873e-7,6.156,0.004,1.81e4,4500,15.299,0.086,207.386,156.282,3.079,0.105,5.842e6,0,9.058,0.613,0.613,0.277,0.214,0.121,0.103,0.29,3.312e-4,0,0,0,0,0.026,0.005,16.6,216.424,64.843,0.039,0,7.376,880.353,335.769,0.05,0.092
13.52,1174.491,31.326,-10.189,34.869,10.193,212.253,0.075,212.253,0.02,15.313,0.292,22,120.002,9.784,0.583,-9.529e-7,6.291,0.004,1.81e4,4500,15.299,0.086,207.312,156.282,3.074,0.104,5.765e6,0,8.82,0.613,0.613,0.277,0.214,0.121,0.108,0.305,4.449e-4,0,0,0,0,0.028,0.005,16.6,216.424,64.532,0.039,0,7.366,880.185,335.763,0.05,0.092
13.57,1176.045,30.817,-10.175,34.406,10.179,213.018,0.076,213.018,0.02,15.299,0.29,22,120.002,9.784,0.615,-6.004e-7,6.429,0.004,1.81e4,4500,15.299,0.086,207.234,156.282,3.069,0.102,5.687e6,0,8.586,0.613,0.613,0.277,0.214,0.121,0.115,0.321,-3.991e-4,0,0,0,0,0.03,0.005,16.6,216.424,64.214,0.039,0,7.356,880.02,335.756,0.05,0.092
13.62,1177.573,30.309,-10.16,33.945,10.165,213.783,0.076,213.783,0.02,15.284,0.289,22,120.002,9.784,0.65,0,6.57,0.004,1.81e4,4500,15.299,0.086,207.151,156.282,3.064,0.101,5.611e6,0,8.356,0.613,0.613,0.277,0.214,0.121,0.121,0.339,2.76e-4,0,0,0,0,0.032,0.005,16.6,216.424,63.889,0.039,0,7.346,879.857,335.75,0.05,0.092
13.67,1179.075,29.801,-10.146,33.486,10.151,214.547,0.077,214.547,0.021,15.27,0.288,22,120.002,9.784,0.687,0,6.716,0.004,1.81e4,4500,15.299,0.086,207.062,156.282,3.059,0.1,5.534e6,0,8.131,0.612,0.613,0.277,0.214,0.121,0.128,0.358,-7.264e-5,0,0,0,0,0.035,0.005,16.6,216.424,63.557,0.039,0,7.336,879.697,335.745,0.05,0.092
13.72,1180.553,29.294,-10.133,33.028,10.137,215.31,0.077,215.31,0.021,15.256,0.287,22,120.002,9.784,0.726,-3.592e-7,6.865,0.004,1.81e4,4500,15.299,0.086,206.969,156.282,3.053,0.098,5.458e6,0,7.91,0.612,0.613,0.277,0.214,0.121,0.136,0.378,2.702e-4,0,0,0,0,0.037,0.005,16.6,216.424,63.217,0.039,0,7.326,879.54,335.739,0.05,0.092
13.77,1182.005,28.788,-10.119,32.574,10.123,216.072,0.078,216.072,0.021,15.241,0.286,22,120.002,9.784,0.768,-4.567e-7,7.018,0.004,1.81e4,4500,15.299,0.086,206.869,156.282,3.047,0.097,5.382e6,0,7.694,0.612,0.613,0.277,0.214,0.121,0.144,0.398,-3.937e-4,0,0,0,0,0.04,0.004,16.6,216.424,62.87,0.039,0,7.317,879.386,335.733,0.05,0.092
13.82,1183.432,28.282,-10.105,32.121,10.109,216.834,0.079,216.834,0.021,15.227,0.286,22,120.002,9.784,0.813,-4.86e-7,7.175,0.004,1.81e4,4500,15.299,0.086,206.764,156.282,3.041,0.096,5.307e6,0,7.481,0.612,0.614,0.277,0.214,0.121,0.152,0.421,-3.711e-4,0,0,0,0,0.043,0.004,16.6,216.424,62.515,0.039,0,7.308,879.234,335.727,0.05,0.093
13.87,1184.833,27.777,-10.092,31.67,10.096,217.595,0.079,217.595,0.021,15.213,0.285,22,120.002,9.784,0.86,-3.522e-7,7.337,0.003,1.81e4,4500,15.299,0.086,206.652,156.282,3.034,0.094,5.232e6,0,7.273,0.612,0.614,0.277,0.214,0.121,0.162,0.444,3.815e-4,0,0,0,0,0.046,0.004,16.6,216.424,62.152,0.04,0,7.299,879.085,335.722,0.05,0.093
13.92,1186.209,27.273,-10.079,31.222,10.083,218.355,0.08,218.355,0.021,15.198,0.284,22,120.002,9.784,0.911,-4.748e-7,7.502,0.003,1.81e4,4500,15.299,0.086,206.534,156.282,3.027,0.093,5.157e6,0,7.069,0.612,0.614,0.277,0.214,0.121,0.171,0.469,2.938e-4,0,0,0,0,0.05,0.004,16.6,216.424,61.781,0.04,0,7.29,878.938,335.716,0.05,0.093
