position(mm),mass(g/mm)
999,6.494259375
1000,6.494259375
1001,6.494259375
1002,6.494259375
1003,6.494259375
1004,6.494259375
1005,15.01489
1006,15.01489
1007,15.01489
1008,15.01489
1009,15.01489
1010,7.01689
1011,7.01689
1012,7.01689
1013,7.01689
1014,7.01689
1015,7.01689
1016,7.01689
1017,7.01689
1018,7.01689
1019,7.01689
1020,7.01689
1021,7.01689
1022,15.01489
1023,15.01489
1024,15.01489
1025,15.01489
1026,15.01489
1027,6.494259375
1028,6.494259375
1029,6.494259375
1030,6.494259375
1031,6.494259375
1032,6.494259375
1033,6.494259375
1034,6.494259375
1035,6.494259375
1036,6.494259375
1037,6.494259375
1038,6.494259375
1039,6.494259375
1040,6.494259375
1041,6.494259375
1042,6.494259375
1043,6.494259375
1044,6.494259375
1045,6.494259375
1046,6.494259375
1047,6.494259375
1048,6.494259375
1049,6.494259375
1050,6.494259375
1051,6.494259375
1052,6.494259375
1053,6.494259375
1054,6.494259375
1055,6.494259375
1056,6.494259375
1057,6.494259375
1058,6.494259375
1059,6.494259375
1060,6.494259375
1061,6.494259375
1062,6.494259375
1063,6.494259375
1064,6.494259375
1065,6.494259375
1066,6.494259375
1067,6.494259375
1068,6.494259375
1069,6.494259375
1070,6.494259375
1071,6.494259375
1072,6.494259375
1073,6.494259375
1074,6.494259375
1075,6.494259375
1076,6.494259375
1077,6.494259375
1078,6.494259375
1079,6.494259375
1080,6.494259375
1081,6.494259375
1082,6.494259375
1083,6.494259375
1084,6.494259375
1085,6.494259375
1086,6.494259375
1087,6.494259375
1088,6.494259375
1089,6.494259375
1090,6.494259375
1091,6.494259375
1092,6.494259375
1093,6.494259375
1094,6.494259375
1095,6.494259375
1096,6.494259375
1097,6.494259375
1098,6.494259375
1099,6.494259375
1100,6.494259375
1101,6.494259375
1102,6.494259375
1103,6.494259375
1104,6.494259375
1105,6.494259375
1106,6.494259375
1107,6.494259375
1108,6.494259375
1109,6.494259375
1110,6.494259375
1111,6.494259375
1112,6.494259375
1113,6.494259375
1114,6.494259375
1115,6.494259375
1116,6.494259375
1117,6.494259375
1118,6.494259375
1119,6.494259375
1120,6.494259375
1121,6.494259375
1122,6.494259375
1123,6.494259375
1124,6.494259375
1125,6.494259375
1126,6.494259375
1127,6.494259375
1128,6.494259375
1129,6.494259375
1130,6.494259375
1131,6.494259375
1132,6.494259375
1133,6.494259375
1134,6.494259375
1135,6.494259375
1136,6.494259375
1137,6.494259375
1138,6.494259375
1139,6.494259375
1140,6.494259375
1141,6.494259375
1142,6.494259375
1143,6.494259375
1144,6.494259375
1145,6.494259375
1146,6.494259375
1147,6.494259375
1148,6.494259375
1149,6.494259375
1150,6.494259375
1151,6.494259375
1152,6.494259375
1153,6.494259375
1154,6.494259375
1155,15.01489
1156,15.01489
1157,15.01489
1158,15.01489
1159,15.01489
1160,6.71589
1161,6.71589
1162,6.71589
1163,6.71589
1164,6.71589
1165,6.71589
1166,6.71589
1167,6.71589
1168,6.71589
1169,6.71589
1170,6.71589
1171,6.71589
1172,15.61489
1173,15.61489
1174,15.61489
1175,15.61489
1176,15.61489
1177,6.21249
1178,6.21249
1179,6.21249
1180,6.21249
1181,6.21249
1182,6.21249
1183,6.21249
1184,6.21249
1185,6.21249
1186,6.21249
1187,6.21249
1188,6.21249
1189,26.35899
1190,26.35899
1191,26.35899
1192,26.35899
1193,2.61649
1194,2.61649
1195,2.61649
1196,2.61649
1197,2.61649
1198,2.61649
1199,2.61649
1200,2.61649
1201,2.61649
1202,2.61649
1203,2.61649
1204,2.61649
1205,2.61649
1206,2.61649
1207,2.61649
1208,2.61649
1209,2.61649
1210,2.61649
1211,2.61649
1212,2.61649
1213,2.61649
1214,2.61649
1215,2.61649
1216,2.61649
1217,2.61649
1218,2.61649
1219,2.61649
1220,2.61649
1221,2.61649
1222,2.61649
1223,2.61649
1224,2.61649
1225,2.61649
1226,2.61649
1227,2.61649
1228,2.61649
1229,2.61649
1230,2.61649
1231,2.61649
1232,2.61649
1233,2.61649
1234,2.61649
1235,2.61649
1236,2.61649
1237,2.61649
1238,2.61649
1239,2.61649
1240,2.61649
1241,2.61649
1242,2.61649
1243,2.61649
1244,2.61649
1245,2.61649
1246,2.61649
1247,2.61649
1248,2.61649
1249,2.61649
1250,2.61649
1251,2.61649
1252,2.61649
1253,2.61649
1254,2.61649
1255,2.61649
1256,2.61649
1257,2.61649
1258,2.61649
1259,2.61649
1260,2.61649
1261,2.61649
1262,2.61649
1263,2.61649
1264,2.61649
1265,2.61649
1266,2.61649
1267,2.61649
1268,2.61649
1269,2.61649
1270,2.61649
1271,2.61649
1272,2.61649
1273,2.61649
1274,2.61649
1275,2.61649
1276,2.61649
1277,2.61649
1278,2.61649
1279,2.61649
1280,2.61649
1281,2.61649
1282,2.61649
1283,2.61649
1284,2.61649
1285,2.61649
1286,2.61649
1287,2.61649
1288,2.61649
1289,2.61649
1290,2.61649
1291,2.61649
1292,2.61649
1293,2.61649
1294,2.61649
1295,2.61649
1296,2.61649
1297,2.61649
1298,2.61649
1299,2.61649
1300,2.61649
1301,2.61649
1302,2.61649
1303,2.61649
1304,2.61649
1305,2.61649
1306,2.61649
1307,2.61649
1308,2.61649
1309,2.61649
1310,2.61649
1311,2.61649
1312,2.61649
1313,2.61649
1314,2.61649
1315,2.61649
1316,2.61649
1317,2.61649
1318,2.61649
1319,2.61649
1320,2.61649
1321,2.61649
1322,2.61649
1323,2.61649
1324,2.61649
1325,2.61649
1326,2.61649
1327,2.61649
1328,2.61649
1329,2.61649
1330,2.61649
1331,2.61649
1332,2.61649
1333,2.61649
1334,2.61649
1335,2.61649
1336,2.61649
1337,2.61649
1338,2.61649
1339,2.61649
1340,2.61649
1341,2.61649
1342,2.61649
1343,2.61649
1344,2.61649
1345,2.61649
1346,2.61649
1347,2.61649
1348,2.61649
1349,2.61649
1350,2.61649
1351,2.61649
1352,2.61649
1353,2.61649
1354,2.61649
1355,2.61649
1356,2.61649
1357,2.61649
1358,2.61649
1359,2.61649
1360,2.61649
1361,2.61649
1362,2.61649
1363,2.61649
1364,2.61649
1365,2.61649
1366,2.61649
1367,2.61649
1368,2.61649
1369,2.61649
1370,2.61649
1371,2.61649
1372,2.61649
1373,2.61649
1374,2.61649
1375,2.61649
1376,2.61649
1377,2.61649
1378,2.61649
1379,2.61649
1380,2.61649
1381,2.61649
1382,2.61649
1383,2.61649
1384,2.61649
1385,2.61649
1386,2.61649
1387,2.61649
1388,2.61649
1389,2.61649
1390,2.61649
1391,2.61649
1392,2.61649
1393,2.61649
1394,2.61649
1395,2.61649
1396,2.61649
1397,2.61649
1398,2.61649
1399,2.61649
1400,2.61649
1401,2.61649
1402,2.61649
1403,2.61649
1404,2.61649
1405,2.61649
